"","Label","Type","0- Reference","5a- catch length logistic","5b- catch length logistic rec devs","7a- catch ages","7b- catch ages rec devs","8a- catch length ages","8b- catch length ages rec devs"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7492.98,3039.34,2422.9,32194.6,29551.8,33624.2,31030.6
"3",NA,"deltaAIC",0,-4453.64,-5070.08,24701.62,22058.82,26131.22,23537.62
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-76.0855,NA,NA,NA,NA,NA,NA
"6",NA,"Trawl_wdis",0,NA,NA,NA,NA,NA,NA
"7",NA,"Non.Trawl_wdis",-38.3081,NA,NA,NA,NA,NA,NA
"8",NA,"Ocean",-13.4952,NA,NA,NA,NA,NA,NA
"9",NA,"Shore",0,NA,NA,NA,NA,NA,NA
"10",NA,"MPA",-4.65984,NA,NA,NA,NA,NA,NA
"11",NA,"Acoustic_Visual",-6.90464,NA,NA,NA,NA,NA,NA
"12",NA,"Tag",-10.2305,NA,NA,NA,NA,NA,NA
"13",NA,"MRFSS",-2.48714,NA,NA,NA,NA,NA,NA
"14","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA
"16",NA,"Trawl_wdis",0,NA,NA,NA,NA,NA,NA
"17",NA,"Non.Trawl_wdis",1,NA,NA,NA,NA,NA,NA
"18",NA,"Ocean",1,NA,NA,NA,NA,NA,NA
"19",NA,"Shore",0,NA,NA,NA,NA,NA,NA
"20",NA,"MPA",1,NA,NA,NA,NA,NA,NA
"21",NA,"Acoustic_Visual",1,NA,NA,NA,NA,NA,NA
"22",NA,"Tag",1,NA,NA,NA,NA,NA,NA
"23",NA,"MRFSS",1,NA,NA,NA,NA,NA,NA
"24","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"ALL",492.509,1510.66,1128.5,0,0,1744.87,1527.64
"26",NA,"Trawl_wdis",71.6334,161.784,170.82,184.321,187.439,158.492,170.841
"27",NA,"Non.Trawl_wdis",285.563,837.405,647.781,6509.46,6584.26,990.966,837.389
"28",NA,"Ocean",91.7197,395.96,226.754,3284.11,3484.05,493.337,403.79
"29",NA,"Shore",26.6222,115.508,83.1465,735.299,1016.4,102.077,115.621
"30",NA,"MPA",16.9707,NA,NA,NA,NA,NA,NA
"31",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA
"32",NA,"Tag",0,NA,NA,NA,NA,NA,NA
"33",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA
"34","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"ALL",NA,NA,NA,NA,NA,NA,NA
"36",NA,"Trawl_wdis",1,1,1,0,0,1,1
"37",NA,"Non.Trawl_wdis",1,1,1,0,0,1,1
"38",NA,"Ocean",1,1,1,0,0,1,1
"39",NA,"Shore",1,1,1,0,0,1,1
"40",NA,"MPA",1,NA,NA,NA,NA,NA,NA
"41",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA
"42",NA,"Tag",0,NA,NA,NA,NA,NA,NA
"43",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA
"44","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"ALL",3253.3,NA,NA,15552.9,14342.1,14852.1,13791.9
"46",NA,"Trawl_wdis",668.511,NA,NA,1123.78,1150.54,958.513,980.801
"47",NA,"Non.Trawl_wdis",1329.66,NA,NA,6372.52,5955.01,5897.3,5573.55
"48",NA,"Ocean",1255.12,NA,NA,8056.64,7236.6,7996.24,7237.53
"49",NA,"Shore",0,NA,NA,0,0,0,0
"50",NA,"MPA",0,NA,NA,NA,NA,NA,NA
"51",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA
"52",NA,"Tag",0,NA,NA,NA,NA,NA,NA
"53",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA
"54","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"ALL",NA,NA,NA,NA,NA,NA,NA
"56",NA,"Trawl_wdis",1,NA,NA,1,1,1,1
"57",NA,"Non.Trawl_wdis",1,NA,NA,1,1,1,1
"58",NA,"Ocean",1,NA,NA,1,1,1,1
"59",NA,"Shore",0,NA,NA,0,0,0,0
"60",NA,"MPA",0,NA,NA,NA,NA,NA,NA
"61",NA,"Acoustic_Visual",0,NA,NA,NA,NA,NA,NA
"62",NA,"Tag",0,NA,NA,NA,NA,NA,NA
"63",NA,"MRFSS",0,NA,NA,NA,NA,NA,NA
"64","Parameters",NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,"NatM_uniform_Fem_GP_1",0.19,0.19,0.19,0.19,0.19,0.19,0.19
"66",NA,"L_at_Amin_Fem_GP_1",0,0,0,-18.4414,-16.4863,-12.9658,-9.69434
"67",NA,"L_at_Amax_Fem_GP_1",50.8464,48.84,48.84,51.9341,51.4292,50.7175,51.0485
"68",NA,"VonBert_K_Fem_GP_1",0.181808,0.1788,0.1788,0.167883,0.166033,0.162992,0.15319
"69",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"70",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"71",NA,"Wtlen_1_Fem_GP_1",2.54537e-05,2.54537e-05,2.54537e-05,2.55e-05,2.55e-05,2.55e-05,2.55e-05
"72",NA,"Wtlen_2_Fem_GP_1",2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
"73",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.29,40.29,40.29,40.29
"74",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.377009,-0.377009,-0.377009,-0.377009
"75",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.40671e-08,1.40671e-08,1.40671e-08,1.40671e-08
"76",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685
"77",NA,"NatM_uniform_Mal_GP_1",0.17,0.17,0.17,0.17,0.17,0.17,0.17
"78",NA,"L_at_Amin_Mal_GP_1",0,1.8328,1.8328,-13.6842,-11.1737,-13.4046,-10.9737
"79",NA,"L_at_Amax_Mal_GP_1",44.8755,44.19,44.19,46.1705,45.5899,44.4647,44.1515
"80",NA,"VonBert_K_Mal_GP_1",0.223622,0.2118,0.2118,0.188728,0.185647,0.201325,0.19582
"81",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"82",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1
"83",NA,"Wtlen_1_Mal_GP_1",2.56318e-05,2.56318e-05,2.56318e-05,2.56e-05,2.56e-05,2.56e-05,2.56e-05
"84",NA,"Wtlen_2_Mal_GP_1",2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
"85",NA,"CohortGrowDev",1,1,1,1,1,1,1
"86",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5
"87",NA,"SR_LN(R0)",8.24482,7.56656,7.21797,7.93756,8.17368,7.89304,8.09178
"88",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72
"89",NA,"SR_sigmaR",0.6,0.7,0.7,0.7,0.7,0.7,0.7
"90",NA,"SR_regime",0,0,0,0,0,0,0
"91",NA,"SR_autocorr",0,0,0,0,0,0,0
"92",NA,"Main_RecrDev_1980",-1.08,NA,0.225947,NA,-1.02704,NA,-0.88994
"93",NA,"Main_RecrDev_1981",-0.862507,NA,-0.333845,NA,-0.838155,NA,-0.556258
"94",NA,"Main_RecrDev_1982",-0.317025,NA,-0.222363,NA,-0.397756,NA,-0.00170568
"95",NA,"Main_RecrDev_1983",-0.441283,NA,-0.334631,NA,-0.573463,NA,-0.160375
"96",NA,"Main_RecrDev_1984",-0.276819,NA,1.7733,NA,-0.115339,NA,0.0428471
"97",NA,"Main_RecrDev_1985",-0.14697,NA,0.985762,NA,-0.0171755,NA,0.0473986
"98",NA,"Main_RecrDev_1986",-0.333052,NA,-0.795697,NA,-0.260961,NA,-0.24015
"99",NA,"Main_RecrDev_1987",-0.372012,NA,-0.222,NA,-0.356096,NA,-0.372797
"100",NA,"Main_RecrDev_1988",-0.296899,NA,-1.28085,NA,-0.428514,NA,-0.471776
"101",NA,"Main_RecrDev_1989",-0.0140731,NA,-1.49214,NA,-0.147463,NA,-0.220255
"102",NA,"Main_RecrDev_1990",-0.0590344,NA,1.51076,NA,-0.123761,NA,-0.225016
"103",NA,"Main_RecrDev_1991",0.0777129,NA,-1.06998,NA,0.0132107,NA,-0.0946815
"104",NA,"Main_RecrDev_1992",0.00782925,NA,-0.691231,NA,-0.0582818,NA,-0.147164
"105",NA,"Main_RecrDev_1993",0.0231986,NA,0.6938,NA,-0.0304502,NA,-0.0780938
"106",NA,"Main_RecrDev_1994",0.344175,NA,-0.580313,NA,0.326326,NA,0.303867
"107",NA,"Main_RecrDev_1995",0.303778,NA,1.48252,NA,0.331796,NA,0.307937
"108",NA,"Main_RecrDev_1996",0.0243693,NA,-0.896031,NA,0.101695,NA,0.0602646
"109",NA,"Main_RecrDev_1997",-0.0234348,NA,1.48832,NA,0.105425,NA,0.045393
"110",NA,"Main_RecrDev_1998",-0.299024,NA,-1.54362,NA,-0.160185,NA,-0.184369
"111",NA,"Main_RecrDev_1999",0.631345,NA,-1.43945,NA,0.680585,NA,0.724775
"112",NA,"Main_RecrDev_2000",0.732128,NA,1.25455,NA,0.952695,NA,0.874921
"113",NA,"Main_RecrDev_2001",0.309175,NA,0.975053,NA,0.380564,NA,0.463261
"114",NA,"Main_RecrDev_2002",-0.447303,NA,-1.45222,NA,-0.665967,NA,-0.703061
"115",NA,"Main_RecrDev_2003",0.54202,NA,1.26877,NA,0.532996,NA,0.772264
"116",NA,"Main_RecrDev_2004",-1.01491,NA,-1.2459,NA,-2.53436,NA,-4.00738
"117",NA,"Main_RecrDev_2005",0.541606,NA,1.2263,NA,0.488697,NA,0.754404
"118",NA,"Main_RecrDev_2006",0.0420571,NA,-1.39453,NA,0.0402771,NA,0.0807472
"119",NA,"Main_RecrDev_2007",-0.278193,NA,1.34455,NA,-0.166896,NA,-0.168539
"120",NA,"Main_RecrDev_2008",0.980774,NA,-1.27636,NA,1.07538,NA,1.09874
"121",NA,"Main_RecrDev_2009",-0.361975,NA,0.81976,NA,-0.279761,NA,-0.354647
"122",NA,"Main_RecrDev_2010",0.497906,NA,1.26477,NA,0.652079,NA,0.611814
"123",NA,"Main_RecrDev_2011",0.419614,NA,-1.00687,NA,0.561482,NA,0.509742
"124",NA,"Main_RecrDev_2012",0.212016,NA,0.902577,NA,0.382766,NA,0.337218
"125",NA,"Main_RecrDev_2013",0.56402,NA,0.748679,NA,0.756972,NA,0.719854
"126",NA,"Main_RecrDev_2014",0.481088,NA,-0.992649,NA,0.687477,NA,0.671706
"127",NA,"Main_RecrDev_2015",-0.243498,NA,1.14269,NA,-0.0650454,NA,-0.0204417
"128",NA,"Main_RecrDev_2016",0.77026,NA,-1.38696,NA,0.878934,NA,0.996117
"129",NA,"Main_RecrDev_2017",-0.637062,NA,0.549541,NA,-0.70269,NA,-0.526621
"130",NA,"Late_RecrDev_2018",0,NA,0,NA,0,NA,0
"131",NA,"Late_RecrDev_2019",0,NA,0,NA,0,NA,0
"132",NA,"Late_RecrDev_2020",0,NA,0,NA,0,NA,0
"133",NA,"Late_RecrDev_2021",0,NA,0,NA,0,NA,0
"134",NA,"Late_RecrDev_2022",0,NA,0,NA,0,NA,0
"135",NA,"ForeRecr_2023",0,NA,0,NA,0,NA,0
"136",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"137",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"138",NA,"InitF_seas_1_flt_3Ocean",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"139",NA,"InitF_seas_1_flt_4Shore",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"140",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.81714,NA,NA,NA,NA,NA,NA
"141",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0279839,NA,NA,NA,NA,NA,NA
"142",NA,"LnQ_base_Ocean(3)",-9.23356,NA,NA,NA,NA,NA,NA
"143",NA,"Q_extraSD_Ocean(3)",0.283645,NA,NA,NA,NA,NA,NA
"144",NA,"LnQ_base_MPA(5)",-7.39063,NA,NA,NA,NA,NA,NA
"145",NA,"Q_extraSD_MPA(5)",0.166822,NA,NA,NA,NA,NA,NA
"146",NA,"LnQ_base_Acoustic_Visual(6)",0.6,NA,NA,NA,NA,NA,NA
"147",NA,"Q_extraSD_Acoustic_Visual(6)",0,NA,NA,NA,NA,NA,NA
"148",NA,"LnQ_base_Tag(7)",-1.17676,NA,NA,NA,NA,NA,NA
"149",NA,"Q_extraSD_Tag(7)",0.157977,NA,NA,NA,NA,NA,NA
"150",NA,"LnQ_base_MRFSS(8)",-7.69107,NA,NA,NA,NA,NA,NA
"151",NA,"Q_extraSD_MRFSS(8)",0.396729,NA,NA,NA,NA,NA,NA
"152",NA,"Size_DblN_peak_Trawl_wdis(1)",52.5325,63.9992,63.9988,53.3797,55.7664,63.9975,63.9984
"153",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,15,15,15,15,15,15
"154",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,4.46667,4.3228,4.16797,4.2933,4.57276,4.48877
"155",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,-15,-15,-15,-15,-15,-15
"156",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,-15,-15,-15,-15,-15,-15
"157",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,15,15,15,15,15,15
"158",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",42.6289,43.2048,44.7853,35.4878,35.4451,42.265,42.9596
"159",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,15,15,15,15,15,15
"160",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,3.83695,3.96691,-0.868739,-0.888376,3.73124,3.79121
"161",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",2.15994,-15,-15,-15,-15,-15,-15
"162",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,-15,-15,-15,-15,-15,-15
"163",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.5788,15,15,15,15,15,15
"164",NA,"Size_DblN_peak_Ocean(3)",41.8384,43.806,45.9235,35.0457,35.1024,42.6863,43.3577
"165",NA,"Size_DblN_top_logit_Ocean(3)",-12,15,15,15,15,15,15
"166",NA,"Size_DblN_ascend_se_Ocean(3)",4,4.0847,4.24696,1.83768,1.86397,3.97052,4.01989
"167",NA,"Size_DblN_descend_se_Ocean(3)",2.69017,-15,-15,-15,-15,-15,-15
"168",NA,"Size_DblN_start_logit_Ocean(3)",-15,-15,-15,-15,-15,-15,-15
"169",NA,"Size_DblN_end_logit_Ocean(3)",-0.979909,15,15,15,15,15,15
"170",NA,"Size_DblN_peak_Shore(4)",22.0747,13.0832,10.9967,29.0002,30.3621,27.8771,27.6119
"171",NA,"Size_DblN_top_logit_Shore(4)",4,15,15,15,15,15,15
"172",NA,"Size_DblN_ascend_se_Shore(4)",3,3.98389,11.6906,-0.754937,-1.47926,4.15157,4.11609
"173",NA,"Size_DblN_descend_se_Shore(4)",0.000287824,-15,-15,-15,-15,-15,-15
"174",NA,"Size_DblN_start_logit_Shore(4)",-15,-15,-15,-15,-15,-15,-15
"175",NA,"Size_DblN_end_logit_Shore(4)",4.34183,15,15,15,15,15,15
"176",NA,"Size_DblN_peak_MPA(5)",43.3327,NA,NA,NA,NA,NA,NA
"177",NA,"Size_DblN_top_logit_MPA(5)",-12,NA,NA,NA,NA,NA,NA
"178",NA,"Size_DblN_ascend_se_MPA(5)",4,NA,NA,NA,NA,NA,NA
"179",NA,"Size_DblN_descend_se_MPA(5)",1.22829,NA,NA,NA,NA,NA,NA
"180",NA,"Size_DblN_start_logit_MPA(5)",-15,NA,NA,NA,NA,NA,NA
"181",NA,"Size_DblN_end_logit_MPA(5)",-1.28204,NA,NA,NA,NA,NA,NA
"182",NA,"Size_DblN_peak_Acoustic_Visual(6)",25,NA,NA,NA,NA,NA,NA
"183",NA,"Size_DblN_top_logit_Acoustic_Visual(6)",3.26947,NA,NA,NA,NA,NA,NA
"184",NA,"Size_DblN_ascend_se_Acoustic_Visual(6)",3.58539,NA,NA,NA,NA,NA,NA
"185",NA,"Size_DblN_descend_se_Acoustic_Visual(6)",-9.21034,NA,NA,NA,NA,NA,NA
"186",NA,"Size_DblN_start_logit_Acoustic_Visual(6)",-15,NA,NA,NA,NA,NA,NA
"187",NA,"Size_DblN_end_logit_Acoustic_Visual(6)",11.513,NA,NA,NA,NA,NA,NA
"188",NA,"Size_inflection_Tag(7)",32,NA,NA,NA,NA,NA,NA
"189",NA,"Size_95%width_Tag(7)",1e-06,NA,NA,NA,NA,NA,NA
"190",NA,"SizeSel_P1_MRFSS(8)",-1,NA,NA,NA,NA,NA,NA
"191",NA,"SizeSel_P2_MRFSS(8)",-1,NA,NA,NA,NA,NA,NA
"192","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,"SB0",1632.81,963.359,679.827,1341.37,1599.05,1116.92,1320.48
"194",NA,"SSB_2023",899.771,107.33,67.6233,316.011,730.869,178.272,437.77
"195",NA,"Bratio_2023",0.551058,0.111412,0.0994715,0.235587,0.457065,0.15961,0.331523
"196",NA,"MSY_SPR",454.965,302.594,215.361,332.222,408.718,307.113,360.285
"197",NA,"F_SPR",0.064922,0.062637,0.0626101,0.0623666,0.061055,0.0598038,0.0572633
