"","Label","Type","0. Reference Model","01- AV q = 1, low CV","02- Est AV q, low CV","03- AV q = 1, CV0.45","04- Est AV q, CV0.45","05- Tag q 2015","06- Tag q 2015 xvar","07- No AV","08- No tag","09- No non-trawl","10- No ORBS","11- No MRFSS","12- No MPA","13- Add SMURF","14- No data wts","15- Dirichlet wts","16- McAIll wts","17- 2015 catches"
"121",NA,"Main_RecrDev_2003",0.54202,0.660552,0.481903,0.48397,0.481904,0.378148,0.49671,0.481903,0.552444,0.541463,0.550542,0.525413,0.539349,0.540658,0.665939,0.661407,0.540503,0.580494
"122",NA,"Main_RecrDev_2004",-1.01491,-1.10986,-0.959216,-0.962303,-0.959216,-1.02908,-0.961818,-0.959216,-1.01367,-1.02551,-1.01579,-0.953418,-1.01708,-1.01324,-2.43587,-2.38784,-1.15679,-1.05746
"123",NA,"Main_RecrDev_2005",0.541606,0.644493,0.498107,0.500322,0.498108,0.37342,0.508527,0.498107,0.550397,0.558804,0.554692,0.534646,0.538226,0.540554,0.580562,0.576435,0.532277,0.568264
"124",NA,"Main_RecrDev_2006",0.0420571,0.121487,0.0153551,0.01758,0.0153551,-0.0186555,0.0167455,0.0153551,0.0443369,0.0576313,0.0524813,0.0442028,0.039145,0.0414378,0.0002391,-0.000631533,0.044226,0.0586392
"125",NA,"Main_RecrDev_2007",-0.278193,-0.216522,-0.294534,-0.292323,-0.294534,-0.279273,-0.297032,-0.294534,-0.278424,-0.264786,-0.268999,-0.268963,-0.285529,-0.278569,-0.237846,-0.239697,-0.25526,-0.268056
"126",NA,"Main_RecrDev_2008",0.980774,1.0952,0.917597,0.922939,0.917597,0.88074,0.921864,0.917597,0.982625,1.00325,0.991618,0.976744,0.982763,0.979875,0.981508,0.979325,0.989553,1.00268
"127",NA,"Main_RecrDev_2009",-0.361975,-0.271804,-0.41029,-0.405674,-0.41029,-0.459793,-0.408423,-0.41029,-0.361314,-0.331634,-0.352871,-0.350485,-0.352194,-0.362356,-0.389408,-0.390614,-0.421737,-0.353667
"128",NA,"Main_RecrDev_2010",0.497906,0.636077,0.407759,0.415641,0.407759,0.3753,0.413573,0.407759,0.499445,0.544806,0.513191,0.498171,0.501624,0.497056,0.489393,0.487082,0.491639,0.517769
"129",NA,"Main_RecrDev_2011",0.419614,0.573278,0.305484,0.315275,0.305484,0.286839,0.313121,0.305484,0.4209,0.479436,0.437131,0.42354,0.417917,0.418525,0.37993,0.377442,0.398724,0.436857
"130",NA,"Main_RecrDev_2012",0.212016,0.383619,0.0701461,0.0823907,0.0701461,0.0594443,0.0802387,0.0701461,0.213385,0.285242,0.232499,0.218211,0.20932,0.212874,0.171392,0.168694,0.172681,0.22828
"131",NA,"Main_RecrDev_2013",0.56402,0.745079,0.400798,0.415763,0.400799,0.378462,0.412638,0.400798,0.565535,0.651198,0.587632,0.572131,0.565533,0.559048,0.489305,0.486328,0.552066,0.580025
"132",NA,"Main_RecrDev_2014",0.481088,0.663291,0.297463,0.315613,0.297463,0.257054,0.310752,0.297463,0.482553,0.578831,0.50665,0.491869,0.483899,0.482185,0.384096,0.380744,0.445777,0.495714
"133",NA,"Main_RecrDev_2015",-0.243498,-0.0725984,-0.443363,-0.42234,-0.443362,-0.501495,-0.428856,-0.443363,-0.242141,-0.142557,-0.217562,-0.225923,-0.241041,-0.257018,-0.338193,-0.341873,-0.340808,-0.233788
"134",NA,"Main_RecrDev_2016",0.77026,0.958769,0.523541,0.550049,0.523541,0.432874,0.540497,0.523541,0.772017,0.889442,0.801192,0.787974,0.775968,0.770408,0.591942,0.587415,0.709012,0.782515
"135",NA,"Main_RecrDev_2017",-0.637062,-0.517201,-0.880123,-0.851876,-0.880123,-1.04206,-0.868606,-0.880123,-0.635985,-0.51634,-0.607105,-0.591794,-0.629904,-0.59621,-0.917845,-0.921711,-0.788094,-0.645333
"136",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",NA,"Late_RecrDev_2019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",NA,"Late_RecrDev_2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",NA,"Late_RecrDev_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140",NA,"Late_RecrDev_2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"143",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"144",NA,"InitF_seas_1_flt_3Ocean",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"145",NA,"InitF_seas_1_flt_4Shore",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"146",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.81714,-6.35487,-5.33323,-5.35701,-5.33323,-5.89941,-5.3809,-5.33323,-5.81492,NA,-5.78765,-5.7996,-5.81403,-5.81641,-5.90746,-5.90875,-5.86969,-5.82769
"147",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0279839,0.0617555,0.0382414,0.0330458,0.0382413,0.0734791,0.0339157,0.0382413,0.0288543,NA,0.0352917,0.0313154,0.0283117,0.0278706,0.0295355,0.0299791,0.0213189,0.0260253
"148",NA,"LnQ_base_Ocean(3)",-9.23356,-9.7432,-8.79342,-8.81468,-8.79342,-9.33449,-8.83613,-8.79342,-9.23077,-9.12359,NA,-9.2162,-9.23051,-9.23288,-9.32205,-9.3235,-9.28649,-9.24573
"149",NA,"Q_extraSD_Ocean(3)",0.283645,0.346055,0.211964,0.218876,0.211964,0.167445,0.220221,0.211964,0.286601,0.325899,NA,0.290854,0.283947,0.283476,0.233167,0.232277,0.255131,0.276183
"150",NA,"LnQ_base_MPA(5)",-7.39063,-7.98977,-6.85539,-6.88344,-6.85539,-7.43599,-6.91033,-6.85539,-7.39058,-7.28157,-7.3644,-7.37318,NA,-7.38988,-7.48364,-7.48547,-7.44486,-7.39857
"151",NA,"Q_extraSD_MPA(5)",0.166822,0.196506,0.120891,0.126004,0.120891,0.122333,0.124561,0.120891,0.166662,0.194204,0.173479,0.170314,NA,0.166696,0.142715,0.142337,0.157455,0.165636
"152",NA,"LnQ_base_Acoustic_Visual(6)",0.6,0,1.17308,0,1.17308,0.730104,1.11963,NA,0.6,0.6,0.6,0.6,NA,0.6,0.6,0.6,0.6,0.6
"153",NA,"Q_extraSD_Acoustic_Visual(6)",0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0
"154",NA,"LnQ_base_Tag(7)",-1.17676,-1.66475,-0.787831,-0.802886,-0.787831,-1.386,-1.386,NA,NA,-1.03634,-1.13797,-1.15504,NA,-1.17625,-1.35528,-1.35787,-1.23873,-1.19165
"155",NA,"Q_extraSD_Tag(7)",0.157977,0.179545,0.139049,0.140505,0.139049,0,0.554755,NA,NA,0.166075,0.162377,0.159615,NA,0.157952,0.147592,0.147309,0.146558,0.153944
"156",NA,"LnQ_base_MRFSS(8)",-7.69107,-7.99869,-7.4752,-7.48462,-7.4752,-7.80737,-7.49258,NA,NA,-7.62614,-7.66907,NA,NA,-7.69146,-7.75498,-7.75774,-7.77949,-7.7349
"157",NA,"Q_extraSD_MRFSS(8)",0.396729,0.387042,0.405449,0.407857,0.405449,0.280782,0.404477,NA,NA,0.442521,0.412619,NA,NA,0.39722,0.300522,0.300336,0.338223,0.381277
"158",NA,"Size_DblN_peak_Trawl_wdis(1)",52.5325,51.9002,53.2314,53.2113,53.2314,51.8031,53.1607,53.2314,52.5461,52.9474,52.6612,52.6182,52.5231,52.5327,51.307,51.2792,52.0542,52.4554
"159",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372
"160",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"161",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"162",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"163",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513
"164",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",42.6289,42.2669,43.1162,43.1045,43.1162,42.1579,43.0657,43.1162,42.6366,42.9626,42.7159,42.6823,42.6318,42.6298,42.2024,42.1974,42.4254,42.6071
"165",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"166",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"167",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",2.15994,2.26779,1.7632,1.7769,1.7632,2.30647,1.82384,1.7632,2.15638,1.92945,2.11952,2.13669,2.1567,2.15925,2.35806,2.35619,2.1189,2.17041
"168",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"169",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.5788,-1.84574,-1.10106,-1.11678,-1.10106,-1.92279,-1.16227,-1.10106,-1.57187,-1.30578,-1.511,-1.53704,-1.57889,-1.57843,-2.25909,-2.25795,-1.56352,-1.59828
"170",NA,"Size_DblN_peak_Ocean(3)",41.8384,41.5115,42.2317,42.2215,42.2317,41.394,42.1862,42.2317,41.8463,42.1021,41.9145,41.8867,41.8403,41.8394,41.4558,41.4505,41.6498,41.8208
"171",NA,"Size_DblN_top_logit_Ocean(3)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"172",NA,"Size_DblN_ascend_se_Ocean(3)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"173",NA,"Size_DblN_descend_se_Ocean(3)",2.69017,2.73332,2.6208,2.62306,2.6208,2.75333,2.63188,2.6208,2.6891,2.64662,2.67796,2.68225,2.68701,2.68954,2.8213,2.82026,2.60392,2.68968
"174",NA,"Size_DblN_start_logit_Ocean(3)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"175",NA,"Size_DblN_end_logit_Ocean(3)",-0.979909,-1.29372,-0.555125,-0.569326,-0.555125,-1.37621,-0.604161,-0.555125,-0.971968,-0.739066,-0.905443,-0.92884,-0.981508,-0.979537,-1.70869,-1.71145,-1.07318,-0.990806
"176",NA,"Size_DblN_peak_Shore(4)",22.0747,21.6568,22.3713,22.3516,22.3713,22.2563,22.3503,22.3713,22.073,22.0374,22.0591,22.022,22.0791,22.0726,22.4507,22.3045,22.003,21.9492
"177",NA,"Size_DblN_top_logit_Shore(4)",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"178",NA,"Size_DblN_ascend_se_Shore(4)",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"179",NA,"Size_DblN_descend_se_Shore(4)",0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824
"180",NA,"Size_DblN_start_logit_Shore(4)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"181",NA,"Size_DblN_end_logit_Shore(4)",4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183
"182",NA,"Size_DblN_peak_MPA(5)",43.3327,42.8238,43.8639,43.8491,43.8639,42.7918,43.7953,43.8639,43.334,43.6768,43.4261,43.3905,NA,43.3336,42.781,42.7722,43.1312,43.3104
"183",NA,"Size_DblN_top_logit_MPA(5)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,NA,-12,-12,-12,-12,-12
"184",NA,"Size_DblN_ascend_se_MPA(5)",4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4
"185",NA,"Size_DblN_descend_se_MPA(5)",1.22829,1.91905,0.417662,0.442068,0.417662,1.96365,0.531817,0.417662,1.22663,0.705632,1.08658,1.14031,NA,1.2267,2.04609,2.03331,1.43793,1.26423
"186",NA,"Size_DblN_start_logit_MPA(5)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,NA,-15,-15,-15,-15,-15
"187",NA,"Size_DblN_end_logit_MPA(5)",-1.28204,-1.74742,-0.90999,-0.920258,-0.90999,-1.84221,-0.949068,-0.90999,-1.27711,-1.04875,-1.20723,-1.23507,NA,-1.28156,-2.15753,-2.11458,-1.41895,-1.30085
"188",NA,"Size_DblN_peak_Acoustic_Visual(6)",25,25,25,25,25,25,25,NA,25,25,25,25,NA,25,25,25,25,25
"189",NA,"Size_DblN_top_logit_Acoustic_Visual(6)",3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,NA,3.26947,3.26947,3.26947,3.26947,NA,3.26947,3.26947,3.26947,3.26947,3.26947
"190",NA,"Size_DblN_ascend_se_Acoustic_Visual(6)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,NA,3.58539,3.58539,3.58539,3.58539,NA,3.58539,3.58539,3.58539,3.58539,3.58539
"191",NA,"Size_DblN_descend_se_Acoustic_Visual(6)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,NA,-9.21034,-9.21034,-9.21034,-9.21034,NA,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"192",NA,"Size_DblN_start_logit_Acoustic_Visual(6)",-15,-15,-15,-15,-15,-15,-15,NA,-15,-15,-15,-15,NA,-15,-15,-15,-15,-15
"193",NA,"Size_DblN_end_logit_Acoustic_Visual(6)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,NA,11.513,11.513,11.513,11.513,NA,11.513,11.513,11.513,11.513,11.513
"194",NA,"Size_inflection_Tag(7)",32,32,32,32,32,32,32,NA,NA,32,32,32,NA,32,32,32,32,32
"195",NA,"Size_95%width_Tag(7)",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,NA,NA,1e-06,1e-06,1e-06,NA,1e-06,1e-06,1e-06,1e-06,1e-06
"196",NA,"SizeSel_P1_MRFSS(8)",-1,-1,-1,-1,-1,-1,-1,NA,NA,-1,-1,NA,NA,-1,-1,-1,-1,-1
"197",NA,"SizeSel_P2_MRFSS(8)",-1,-1,-1,-1,-1,-1,-1,NA,NA,-1,-1,NA,NA,-1,-1,-1,-1,-1
"198",NA,"LnQ_base_Tag(6)",NA,NA,NA,NA,NA,NA,NA,-0.787831,NA,NA,NA,NA,-1.17322,NA,NA,NA,NA,NA
"199",NA,"Q_extraSD_Tag(6)",NA,NA,NA,NA,NA,NA,NA,0.139049,NA,NA,NA,NA,0.157565,NA,NA,NA,NA,NA
"200",NA,"LnQ_base_MRFSS(7)",NA,NA,NA,NA,NA,NA,NA,-7.4752,-7.68779,NA,NA,NA,-7.68982,NA,NA,NA,NA,NA
"201",NA,"Q_extraSD_MRFSS(7)",NA,NA,NA,NA,NA,NA,NA,0.405449,0.399124,NA,NA,NA,0.396986,NA,NA,NA,NA,NA
"202",NA,"Size_inflection_Tag(6)",NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
"203",NA,"Size_95%width_Tag(6)",NA,NA,NA,NA,NA,NA,NA,1e-06,NA,NA,NA,NA,1e-06,NA,NA,NA,NA,NA
"204",NA,"SizeSel_P1_MRFSS(7)",NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA
"205",NA,"SizeSel_P2_MRFSS(7)",NA,NA,NA,NA,NA,NA,NA,-1,-1,NA,NA,NA,-1,NA,NA,NA,NA,NA
"206",NA,"LnQ_base_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA
"207",NA,"Q_extraSD_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"208",NA,"Size_DblN_peak_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA
"209",NA,"Size_DblN_top_logit_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26947,NA,NA,NA,NA,NA
"210",NA,"Size_DblN_ascend_se_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58539,NA,NA,NA,NA,NA
"211",NA,"Size_DblN_descend_se_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.21034,NA,NA,NA,NA,NA
"212",NA,"Size_DblN_start_logit_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-15,NA,NA,NA,NA,NA
"213",NA,"Size_DblN_end_logit_Acoustic_Visual(5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.513,NA,NA,NA,NA,NA
"214",NA,"LnQ_base_SMURF(9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.84994,NA,NA,NA,NA
"215",NA,"Q_extraSD_SMURF(9)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.28004e-07,NA,NA,NA,NA
"216",NA,"ln(DM_theta)_Len_P1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76877,NA,NA
"217",NA,"ln(DM_theta)_Len_P2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85181,NA,NA
"218",NA,"ln(DM_theta)_Len_P3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.06293,NA,NA
"219",NA,"ln(DM_theta)_Len_P4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.70719,NA,NA
"220",NA,"ln(DM_theta)_Len_P5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.37986,NA,NA
"221",NA,"ln(DM_theta)_Age_P6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88324,NA,NA
"222",NA,"ln(DM_theta)_Age_P7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.81932,NA,NA
"223",NA,"ln(DM_theta)_Age_P8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.77451,NA,NA
"224","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225",NA,"SB0",1632.81,2194.04,1312.83,1326.79,1312.83,1730.45,1336.98,1312.83,1630.02,1553.14,1607.44,1623.37,1632.88,1633.86,1904.21,1910.06,1628.47,1600.47
"226",NA,"SSB_2023",899.771,1867.42,414.187,436.601,414.187,844.178,448.416,414.187,898.954,855.437,887.58,890.118,899.314,898.663,1082.33,1083.56,904.36,904.769
"227",NA,"Bratio_2023",0.551058,0.851133,0.315492,0.329067,0.315492,0.487837,0.335395,0.315492,0.551499,0.550778,0.552171,0.548314,0.550753,0.550023,0.568392,0.56729,0.555342,0.565316
"228",NA,"MSY_SPR",454.965,591.989,379.576,383.201,379.576,465.78,385.051,379.576,454.429,442.288,450.805,454.346,454.723,455.268,460.428,461.518,461.947,445.105
"229",NA,"F_SPR",0.064922,0.0654201,0.0643004,0.0643157,0.0643004,0.0656603,0.0643677,0.0643004,0.064907,0.0644915,0.0647928,0.0648295,0.0649206,0.0649215,0.0655833,0.0655877,0.0654144,0.0649578
