"","Label","Type","0- Reference Model","01- 2015 M","02- Lorenzen M","03- Est M","04- Fix growth, est M","05- Fix growth","06- Est Lmin","07- Est CVlts","08- Bio mat ogive","09- Fxnal mat ogive","10- Fec = mat","11- No rec devs","12- Full rec devs","13- Logistic sel"
"1","AIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,"AIC",7492.98,7491.96,7456.26,7382.94,12644.1,12832.74,237088122,7500.98,7487.6,7492.28,7490.5,7973.58,7569.82,7777.46
"3",NA,"deltaAIC",0,-1.01999999999953,-36.7199999999993,-110.04,5151.12,5339.76,237080629.02,8,-5.3799999999992,-0.699999999999818,-2.47999999999956,480.6,76.8400000000001,284.48
"4","Survey_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,"ALL",-76.0855,-78.0102,-70.6722,-81.1708,-92.2413,-90.9868,115201000,-76.0855,-75.5718,-76.0062,-75.874,-88.0942,-91.0232,-41.7152
"6",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",NA,"Non.Trawl_wdis",-38.3081,-39.0763,-35.6195,-39.5465,-23.9659,-13.4207,59.1146,-38.3081,-37.9508,-38.2583,-38.1563,-27.6359,-38.1918,-19.816
"8",NA,"Ocean",-13.4952,-14.0538,-12.273,-15.2419,-25.7221,-27.1911,-14.5823,-13.4952,-13.2637,-13.4616,-13.3946,-24.8124,-13.2319,-5.85334
"9",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",NA,"MPA",-4.65984,-4.77281,-4.36082,-4.99165,-7.00043,-8.28819,-5.20242,-4.65985,-4.61497,-4.65339,-4.64065,-6.71139,-4.66425,-2.37727
"11",NA,"Acoustic_Visual",-6.90464,-6.90521,-6.90355,-6.90675,-6.90772,-6.90158,115199000,-6.90464,-6.90454,-6.90462,-6.90459,-6.89828,-6.90654,-6.9042
"12",NA,"Tag",-10.2305,-10.2324,-10.3196,-10.8701,-12.9246,-15.0994,0.621525,-10.2305,-10.1922,-10.2251,-10.213,-11.5311,-10.1207,-9.59839
"13",NA,"MRFSS",-2.48714,-2.96971,-1.19576,-3.61387,-15.7205,-20.0857,1793.66,-2.48715,-2.64549,-2.50318,-2.56488,-10.505,-17.908,2.83406
"14","Surv_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,"Trawl_wdis",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",NA,"Acoustic_Visual",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",NA,"Tag",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",NA,"MRFSS",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24","Length_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,"ALL",492.509,502.227,476.224,458.792,579.022,567.326,66928.1,492.509,491.062,492.306,491.876,552.815,475.385,530.694
"26",NA,"Trawl_wdis",71.6334,71.3726,73.0088,73.205,73.3398,72.3718,647.749,71.6333,71.7143,71.6487,71.6604,65.1939,69.6772,80.7915
"27",NA,"Non.Trawl_wdis",285.563,293.564,276.144,266.189,338.876,340.181,33780.9,285.563,284.953,285.467,285.311,340.187,290.432,304.787
"28",NA,"Ocean",91.7197,92.9815,87.2351,82.31,114.881,114.052,31088.2,91.7198,91.2355,91.6518,91.5104,106.549,82.7879,105.067
"29",NA,"Shore",26.6222,27.0944,23.7371,21.2886,35.3861,23.4799,27.6222,26.6222,26.2286,26.5737,26.4399,22.2982,15.5206,24.8008
"30",NA,"MPA",16.9707,17.2142,16.0988,15.7993,16.5394,17.2412,1383.57,16.9707,16.9306,16.9645,16.9545,18.587,16.9674,15.2465
"31",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Length_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",NA,"Shore",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"40",NA,"MPA",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Age_likelihood",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,"ALL",3253.3,3244.27,3251.13,3223.86,5750.98,5867.92,42204.2,3253.29,3252.9,3253.29,3252.99,3436.96,3236.74,3341.81
"46",NA,"Trawl_wdis",668.511,664.955,669.428,654.622,676.619,668.709,2254.98,668.511,667.793,668.418,668.182,682.743,655.025,669.808
"47",NA,"Non.Trawl_wdis",1329.66,1327.22,1327.37,1319.26,2201.75,2242.53,15444.9,1329.66,1329.66,1329.69,1329.6,1400.02,1323.47,1373.08
"48",NA,"Ocean",1255.12,1252.1,1254.34,1249.97,2872.61,2956.68,24504.3,1255.12,1255.45,1255.18,1255.21,1354.19,1258.24,1298.92
"49",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",NA,"Non.Trawl_wdis",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"58",NA,"Ocean",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"59",NA,"Shore",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",NA,"MPA",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61",NA,"Acoustic_Visual",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62",NA,"Tag",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63",NA,"MRFSS",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,"NatM_uniform_Fem_GP_1",0.19,NA,NA,0.25,0.157827,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19
"66",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,-9.23706e-14,0,0,0,0,0,0,0
"67",NA,"L_at_Amax_Fem_GP_1",50.8464,50.8991,50.5648,50.4087,48,48,50.8464,50.8464,50.8064,50.8393,50.8333,52.2172,50.8284,48.1793
"68",NA,"VonBert_K_Fem_GP_1",0.181808,0.182228,0.181465,0.181921,0.18422,0.18422,0.181808,0.181808,0.181985,0.181842,0.181856,0.175247,0.181866,0.197207
"69",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"70",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"71",NA,"Wtlen_1_Fem_GP_1",2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05,2.54537e-05
"72",NA,"Wtlen_2_Fem_GP_1",2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504,2.89504
"73",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,34.38,40.36,40.36,40.36,40.36,40.36
"74",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.31217,-0.38061,-0.380418,-0.380418,-0.380418,-0.380418
"75",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,NA,1.41e-08,1.41e-08,1.41e-08
"76",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,NA,4.685,4.685,4.685
"77",NA,"NatM_uniform_Mal_GP_1",0.17,NA,NA,0.182171,0.111426,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"78",NA,"L_at_Amin_Mal_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",NA,"L_at_Amax_Mal_GP_1",44.8755,45.0817,44.335,44.3042,44.867,44.867,44.8755,44.8756,44.8436,44.8707,44.862,46.549,44.8909,42.9327
"80",NA,"VonBert_K_Mal_GP_1",0.223622,0.221683,0.227124,0.229579,0.213363,0.213363,0.223622,0.223621,0.22383,0.223654,0.223709,0.21011,0.223261,0.241177
"81",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"82",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"83",NA,"Wtlen_1_Mal_GP_1",2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05,2.56318e-05
"84",NA,"Wtlen_2_Mal_GP_1",2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394,2.89394
"85",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"87",NA,"SR_LN(R0)",8.24482,8.17337,9.85376,8.58036,7.52666,8.15828,8.24482,8.24482,8.22323,8.2421,8.23487,8.28732,8.08227,8.21306
"88",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"89",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"90",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"92",NA,"Main_RecrDev_1980",-1.08,-1.04645,-1.10363,-0.801497,-1.57855,-0.874741,-1.08,-1.07996,-1.05616,-1.07714,-1.06919,NA,-0.295256,-1.07628
"93",NA,"Main_RecrDev_1981",-0.862507,-0.833053,-0.892679,-0.654398,-1.33322,-0.905996,-0.862509,-0.862475,-0.843271,-0.860268,-0.853411,NA,-0.308419,-0.888073
"94",NA,"Main_RecrDev_1982",-0.317025,-0.292276,-0.355473,-0.179953,-0.744124,-0.402063,-0.317028,-0.317039,-0.299527,-0.315081,-0.308159,NA,0.167351,-0.386849
"95",NA,"Main_RecrDev_1983",-0.441283,-0.41716,-0.471825,-0.312575,-0.745324,-0.480702,-0.441285,-0.441281,-0.422754,-0.439173,-0.432082,NA,0.127619,-0.519481
"96",NA,"Main_RecrDev_1984",-0.276819,-0.255459,-0.304144,-0.176997,0.0948268,0.302014,-0.276817,-0.276813,-0.258236,-0.274706,-0.267669,NA,0.281214,-0.3672
"97",NA,"Main_RecrDev_1985",-0.14697,-0.12735,-0.174616,-0.073818,0.204445,0.377443,-0.146968,-0.146981,-0.127274,-0.144707,-0.137906,NA,0.393448,-0.255106
"98",NA,"Main_RecrDev_1986",-0.333052,-0.314488,-0.359656,-0.278613,-0.0610203,0.0928164,-0.33305,-0.333052,-0.311235,-0.33045,-0.323905,NA,0.197786,-0.467148
"99",NA,"Main_RecrDev_1987",-0.372012,-0.355952,-0.3984,-0.336735,-0.0623388,0.0685707,-0.37201,-0.372021,-0.348965,-0.369131,-0.36266,NA,0.133548,-0.547727
"100",NA,"Main_RecrDev_1988",-0.296899,-0.283817,-0.32722,-0.282371,0.078391,0.194711,-0.296897,-0.296896,-0.274609,-0.294023,-0.287505,NA,0.171866,-0.511083
"101",NA,"Main_RecrDev_1989",-0.0140731,-0.00490947,-0.0472045,-0.0144042,0.512681,0.61215,-0.0140719,-0.0140668,0.00577205,-0.0114972,-0.00486724,NA,0.409247,-0.25422
"102",NA,"Main_RecrDev_1990",-0.0590344,-0.0521745,-0.0945839,-0.0640761,0.606788,0.691838,-0.0590336,-0.0590323,-0.0425672,-0.0569255,-0.0502351,NA,0.326572,-0.309345
"103",NA,"Main_RecrDev_1991",0.0777129,0.0839672,0.043179,0.0703386,0.861488,0.930404,0.0777139,0.0777149,0.0902802,0.0792519,0.0855945,NA,0.425465,-0.16984
"104",NA,"Main_RecrDev_1992",0.00782925,0.0143993,-0.0242883,0.000546049,0.868141,0.922704,0.00783029,0.00783178,0.017033,0.00887783,0.0142195,NA,0.310231,-0.225502
"105",NA,"Main_RecrDev_1993",0.0231986,0.0289925,-0.00103092,0.0159186,0.889163,0.922836,0.0231997,0.0231997,0.0287895,0.0238014,0.0282995,NA,0.302454,-0.17001
"106",NA,"Main_RecrDev_1994",0.344175,0.348317,0.327473,0.333892,1.07615,1.08844,0.344176,0.344177,0.344316,0.344144,0.347559,NA,0.598441,0.195414
"107",NA,"Main_RecrDev_1995",0.303778,0.305349,0.293055,0.287605,0.735059,0.726699,0.303779,0.303779,0.295492,0.302653,0.304065,NA,0.535715,0.193577
"108",NA,"Main_RecrDev_1996",0.0243693,0.02379,0.0166046,0.00116903,0.0714543,0.0448234,0.02437,0.0243724,0.008541,0.0221521,0.0212254,NA,0.235073,-0.0657575
"109",NA,"Main_RecrDev_1997",-0.0234348,-0.0265336,-0.0280706,-0.059596,-0.170031,-0.214998,-0.0234341,-0.0234358,-0.0462078,-0.0266622,-0.0303424,NA,0.165961,-0.0979705
"110",NA,"Main_RecrDev_1998",-0.299024,-0.303004,-0.301888,-0.331299,-0.353845,-0.397384,-0.299024,-0.299022,-0.325689,-0.302767,-0.30862,NA,-0.0992101,-0.347632
"111",NA,"Main_RecrDev_1999",0.631345,0.623595,0.635659,0.583603,0.662739,0.588074,0.631347,0.631339,0.597936,0.626763,0.618245,NA,0.78041,0.606663
"112",NA,"Main_RecrDev_2000",0.732128,0.727378,0.732559,0.692235,0.88121,0.814194,0.732127,0.732141,0.699894,0.727696,0.718324,NA,0.888453,0.698615
"113",NA,"Main_RecrDev_2001",0.309175,0.300597,0.309832,0.243253,0.713359,0.620734,0.309181,0.309152,0.276813,0.304702,0.293353,NA,0.405871,0.250471
"114",NA,"Main_RecrDev_2002",-0.447303,-0.444915,-0.452578,-0.393302,-2.43374,-2.00598,-0.447316,-0.447265,-0.455252,-0.448396,-0.453529,NA,-0.124967,-0.442169
"115",NA,"Main_RecrDev_2003",0.54202,0.532628,0.543579,0.443609,0.783377,0.641932,0.542026,0.542028,0.519556,0.539383,0.527974,NA,0.583641,0.529904
"116",NA,"Main_RecrDev_2004",-1.01491,-0.999037,-1.03019,-0.903518,-2.31035,-1.80719,-1.01494,-1.01501,-1.00867,-1.01371,-1.01376,NA,-0.541954,-1.07193
"117",NA,"Main_RecrDev_2005",0.541606,0.53222,0.554802,0.468504,0.708326,0.55805,0.541611,0.541625,0.517054,0.538898,0.530989,NA,0.624618,0.596894
"118",NA,"Main_RecrDev_2006",0.0420571,0.032775,0.0492537,-0.00431251,0.258792,0.0677303,0.0420542,0.0420411,0.0188536,0.0389722,0.0320091,NA,0.189709,0.0899489
"119",NA,"Main_RecrDev_2007",-0.278193,-0.283177,-0.275857,-0.308812,-0.79304,-0.779616,-0.278188,-0.278176,-0.293936,-0.280449,-0.286898,NA,-0.0801111,-0.235047
"120",NA,"Main_RecrDev_2008",0.980774,0.970395,0.991132,0.908278,1.09497,0.861793,0.980774,0.980773,0.968521,0.979221,0.971776,NA,1.08701,1.04706
"121",NA,"Main_RecrDev_2009",-0.361975,-0.369334,-0.353078,-0.385257,-0.152608,-0.30432,-0.361971,-0.36197,-0.363433,-0.361879,-0.366443,NA,-0.146792,-0.304572
"122",NA,"Main_RecrDev_2010",0.497906,0.484122,0.515658,0.429633,0.557545,0.297238,0.497906,0.497905,0.497037,0.498284,0.493835,NA,0.619215,0.620395
"123",NA,"Main_RecrDev_2011",0.419614,0.404907,0.441862,0.350991,0.482611,0.211917,0.419615,0.419619,0.420856,0.420308,0.417423,NA,0.556856,0.574966
"124",NA,"Main_RecrDev_2012",0.212016,0.195413,0.242953,0.14175,0.216939,-0.0748997,0.212018,0.212016,0.214455,0.212813,0.211213,NA,0.351548,0.409493
"125",NA,"Main_RecrDev_2013",0.56402,0.544253,0.6058,0.492457,0.548657,0.230159,0.564021,0.56402,0.565744,0.564715,0.564143,NA,0.696974,0.82321
"126",NA,"Main_RecrDev_2014",0.481088,0.45886,0.532257,0.405631,0.349869,0.0104575,0.481089,0.481085,0.481541,0.481442,0.481237,NA,0.612056,0.806511
"127",NA,"Main_RecrDev_2015",-0.243498,-0.265689,-0.186682,-0.31488,-0.672879,-1.00964,-0.243498,-0.243501,-0.241045,-0.243044,-0.242936,NA,-0.0818633,0.117149
"128",NA,"Main_RecrDev_2016",0.77026,0.739395,0.855069,0.67641,0.0680645,-0.337004,0.770263,0.770263,0.774069,0.770952,0.771051,NA,0.891301,1.22894
"129",NA,"Main_RecrDev_2017",-0.637062,-0.676572,-0.507631,-0.669412,-1.91398,-2.28318,-0.637065,-0.637083,-0.623731,-0.635027,-0.632412,NA,-0.355783,-0.0762753
"130",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"131",NA,"Late_RecrDev_2019",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"132",NA,"Late_RecrDev_2020",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"133",NA,"Late_RecrDev_2021",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"134",NA,"Late_RecrDev_2022",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"135",NA,"ForeRecr_2023",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"136",NA,"InitF_seas_1_flt_1Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"137",NA,"InitF_seas_1_flt_2Non-Trawl_wdis",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"138",NA,"InitF_seas_1_flt_3Ocean",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"139",NA,"InitF_seas_1_flt_4Shore",1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
