"","Label","Type","0- Reference Model","01- 2015 M","02- Lorenzen M","03- Est M","04- Fix growth, est M","05- Fix growth","06- Est Lmin","07- Est CVlts","08- Bio mat ogive","09- Fxnal mat ogive","10- Fec = mat","11- No rec devs","12- Full rec devs","13- Logistic sel"
"140",NA,"LnQ_base_Non-Trawl_wdis(2)",-5.81714,-5.84633,-5.6823,-5.80794,-6.24389,-6.36711,13.1912,-5.81714,-5.80875,-5.81595,-5.81345,-5.977,-5.81859,-5.4488
"141",NA,"Q_extraSD_Non-Trawl_wdis(2)",0.0279839,0.0247631,0.0402911,0.0228159,0.118887,0.24634,0.0279839,0.0279836,0.0295234,0.0281969,0.0286347,0.088693,0.0284804,0.16097
"142",NA,"LnQ_base_Ocean(3)",-9.23356,-9.25812,-9.12663,-9.26238,-9.69023,-9.84703,9.40147,-9.23356,-9.22522,-9.23238,-9.22989,-9.41206,-9.23317,-8.80583
"143",NA,"Q_extraSD_Ocean(3)",0.283645,0.27541,0.302418,0.258586,0.144076,0.13292,0.283645,0.283644,0.28712,0.284147,0.285151,0.152257,0.287601,0.420113
"144",NA,"LnQ_base_MPA(5)",-7.39063,-7.42536,-7.25418,-7.36404,-7.81729,-7.86035,12.3888,-7.39063,-7.38235,-7.38945,-7.387,-7.53411,-7.39394,-6.95886
"145",NA,"Q_extraSD_MPA(5)",0.166822,0.162657,0.17801,0.15461,0.0885066,0.0482127,0.166822,0.166821,0.168485,0.167061,0.167532,0.0959911,0.166661,0.261489
"146",NA,"LnQ_base_Acoustic_Visual(6)",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"147",NA,"Q_extraSD_Acoustic_Visual(6)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",NA,"LnQ_base_Tag(7)",-1.17676,-1.20841,-1.07186,-1.21736,-1.66494,-1.91093,19.371,-1.17676,-1.16612,-1.17523,-1.17213,-1.49657,-1.17583,-0.679472
"149",NA,"Q_extraSD_Tag(7)",0.157977,0.157942,0.156052,0.144622,0.107965,0.077314,0.157977,0.157979,0.158806,0.158094,0.158355,0.132068,0.160365,0.172117
"150",NA,"LnQ_base_MRFSS(8)",-7.69107,-7.70758,-7.63346,-7.73573,-8.03462,-8.36977,-0.465946,-7.69107,-7.6693,-7.68817,-7.68139,-8.05396,-7.2165,-7.51026
"151",NA,"Q_extraSD_MRFSS(8)",0.396729,0.381853,0.438857,0.363147,0.10642,0.062254,0.396729,0.396723,0.391828,0.396231,0.394318,0.200328,0.0846212,0.592684
"152",NA,"Size_DblN_peak_Trawl_wdis(1)",52.5325,52.4021,53.0563,53.2736,52.3061,52.5526,52.5325,52.5325,52.5816,52.5399,52.5527,50.864,52.7275,54.9729
"153",NA,"Size_DblN_top_logit_Trawl_wdis(1)",0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372,0.770372
"154",NA,"Size_DblN_ascend_se_Trawl_wdis(1)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"155",NA,"Size_DblN_descend_se_Trawl_wdis(1)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"156",NA,"Size_DblN_start_logit_Trawl_wdis(1)",-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
"157",NA,"Size_DblN_end_logit_Trawl_wdis(1)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513
"158",NA,"Size_DblN_peak_Non-Trawl_wdis(2)",42.6289,42.4836,43.2267,43.1663,41.489,41.7619,42.6289,42.6289,42.6547,42.6327,42.6399,41.911,42.6352,42.9021
"159",NA,"Size_DblN_top_logit_Non-Trawl_wdis(2)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0
"160",NA,"Size_DblN_ascend_se_Non-Trawl_wdis(2)",4,4,4,4,4,4,4,4,4,4,4,4,4,3.82746
"161",NA,"Size_DblN_descend_se_Non-Trawl_wdis(2)",2.15994,2.20208,1.52151,1.58852,2.27684,2.18684,2.15994,2.15995,2.14799,2.15818,2.1551,2.31951,2.15681,-9
"162",NA,"Size_DblN_start_logit_Non-Trawl_wdis(2)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-10
"163",NA,"Size_DblN_end_logit_Non-Trawl_wdis(2)",-1.5788,-1.61821,-1.13087,-0.958087,-1.40136,-1.34866,-1.57879,-1.5788,-1.55652,-1.57535,-1.56991,-2.21461,-1.56627,10
"164",NA,"Size_DblN_peak_Ocean(3)",41.8384,41.6818,42.4339,42.2639,40.6418,41.0221,41.8384,41.8384,41.8605,41.8416,41.848,41.2493,41.8475,42.9971
"165",NA,"Size_DblN_top_logit_Ocean(3)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,0
"166",NA,"Size_DblN_ascend_se_Ocean(3)",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"167",NA,"Size_DblN_descend_se_Ocean(3)",2.69017,2.69734,2.5186,2.5762,2.66849,2.523,2.69017,2.69017,2.6861,2.68954,2.68842,2.72338,2.69642,-3.05895
"168",NA,"Size_DblN_start_logit_Ocean(3)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-10
"169",NA,"Size_DblN_end_logit_Ocean(3)",-0.979909,-1.104,-0.342592,-0.268583,-0.823862,-0.772621,-0.979904,-0.979918,-0.956263,-0.976285,-0.969942,-1.72833,-0.98046,10
"170",NA,"Size_DblN_peak_Shore(4)",22.0747,21.952,23.1226,22.6708,14.6929,14.9962,22.0747,22.0748,22.1206,22.0803,22.0965,22.6437,23.4973,21.7353
"171",NA,"Size_DblN_top_logit_Shore(4)",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"172",NA,"Size_DblN_ascend_se_Shore(4)",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"173",NA,"Size_DblN_descend_se_Shore(4)",0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824,0.000287824
"174",NA,"Size_DblN_start_logit_Shore(4)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"175",NA,"Size_DblN_end_logit_Shore(4)",4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183,4.34183
"176",NA,"Size_DblN_peak_MPA(5)",43.3327,43.146,43.9455,43.84,41.9347,42.2615,43.3327,43.3327,43.3605,43.3368,43.3445,42.324,43.3307,44.5563
"177",NA,"Size_DblN_top_logit_MPA(5)",-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12,-12
"178",NA,"Size_DblN_ascend_se_MPA(5)",4,4,4,4,4,4,4,4,4,4,4,4,4,4
"179",NA,"Size_DblN_descend_se_MPA(5)",1.22829,1.50294,0.265115,0.463317,2.11354,2.05071,1.22828,1.22828,1.18542,1.22189,1.21015,2.14609,1.22906,1.61792
"180",NA,"Size_DblN_start_logit_MPA(5)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"181",NA,"Size_DblN_end_logit_MPA(5)",-1.28204,-1.43887,-0.82396,-0.684622,-1.35367,-1.36851,-1.28204,-1.28205,-1.25837,-1.27836,-1.27231,-2.13822,-1.27793,-0.579758
"182",NA,"Size_DblN_peak_Acoustic_Visual(6)",25,25,25,25,25,25,25,25,25,25,25,25,25,25
"183",NA,"Size_DblN_top_logit_Acoustic_Visual(6)",3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947,3.26947
"184",NA,"Size_DblN_ascend_se_Acoustic_Visual(6)",3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
"185",NA,"Size_DblN_descend_se_Acoustic_Visual(6)",-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034,-9.21034
"186",NA,"Size_DblN_start_logit_Acoustic_Visual(6)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"187",NA,"Size_DblN_end_logit_Acoustic_Visual(6)",11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513,11.513
"188",NA,"Size_inflection_Tag(7)",32,32,32,32,32,32,32,32,32,32,32,32,32,32
"189",NA,"Size_95%width_Tag(7)",1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
"190",NA,"SizeSel_P1_MRFSS(8)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"191",NA,"SizeSel_P2_MRFSS(8)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"192",NA,"NatM_break_1_Fem_GP_1",NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",NA,"NatM_break_2_Fem_GP_1",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",NA,"NatM_break_1_Mal_GP_1",NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195",NA,"NatM_break_2_Mal_GP_1",NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196",NA,"NatM_Lorenzen_Fem_GP_1",NA,NA,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",NA,"NatM_Lorenzen_Mal_GP_1",NA,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",NA,"Eggs/kg_inter_Fem_GP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"199",NA,"Eggs/kg_slope_wt_Fem_GP_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"200",NA,"Main_RecrDev_1892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03551,NA
"201",NA,"Main_RecrDev_1893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0355174,NA
"202",NA,"Main_RecrDev_1894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0355261,NA
"203",NA,"Main_RecrDev_1895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0355355,NA
"204",NA,"Main_RecrDev_1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0355464,NA
"205",NA,"Main_RecrDev_1897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0355587,NA
"206",NA,"Main_RecrDev_1898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0355724,NA
"207",NA,"Main_RecrDev_1899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.035588,NA
"208",NA,"Main_RecrDev_1900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356056,NA
"209",NA,"Main_RecrDev_1901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356253,NA
"210",NA,"Main_RecrDev_1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356477,NA
"211",NA,"Main_RecrDev_1903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0356729,NA
"212",NA,"Main_RecrDev_1904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357013,NA
"213",NA,"Main_RecrDev_1905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357334,NA
"214",NA,"Main_RecrDev_1906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0357696,NA
"215",NA,"Main_RecrDev_1907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0358103,NA
"216",NA,"Main_RecrDev_1908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0358564,NA
"217",NA,"Main_RecrDev_1909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359084,NA
"218",NA,"Main_RecrDev_1910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0359671,NA
"219",NA,"Main_RecrDev_1911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0360333,NA
"220",NA,"Main_RecrDev_1912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0361079,NA
"221",NA,"Main_RecrDev_1913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0361922,NA
"222",NA,"Main_RecrDev_1914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0362872,NA
"223",NA,"Main_RecrDev_1915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0363944,NA
"224",NA,"Main_RecrDev_1916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0365154,NA
"225",NA,"Main_RecrDev_1917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0366517,NA
"226",NA,"Main_RecrDev_1918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0368055,NA
"227",NA,"Main_RecrDev_1919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.036979,NA
"228",NA,"Main_RecrDev_1920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0371746,NA
"229",NA,"Main_RecrDev_1921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0373952,NA
"230",NA,"Main_RecrDev_1922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0376439,NA
"231",NA,"Main_RecrDev_1923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0379242,NA
"232",NA,"Main_RecrDev_1924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0382401,NA
"233",NA,"Main_RecrDev_1925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0385962,NA
"234",NA,"Main_RecrDev_1926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0389973,NA
"235",NA,"Main_RecrDev_1927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0394494,NA
"236",NA,"Main_RecrDev_1928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0399584,NA
"237",NA,"Main_RecrDev_1929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0405313,NA
"238",NA,"Main_RecrDev_1930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0411756,NA
"239",NA,"Main_RecrDev_1931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0419003,NA
"240",NA,"Main_RecrDev_1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.042715,NA
"241",NA,"Main_RecrDev_1933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0436304,NA
"242",NA,"Main_RecrDev_1934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0446589,NA
"243",NA,"Main_RecrDev_1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.045813,NA
"244",NA,"Main_RecrDev_1936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0471066,NA
"245",NA,"Main_RecrDev_1937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0485526,NA
"246",NA,"Main_RecrDev_1938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0501663,NA
"247",NA,"Main_RecrDev_1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0519661,NA
"248",NA,"Main_RecrDev_1940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0539743,NA
"249",NA,"Main_RecrDev_1941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0562208,NA
"250",NA,"Main_RecrDev_1942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0587363,NA
"251",NA,"Main_RecrDev_1943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0615538,NA
"252",NA,"Main_RecrDev_1944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0646942,NA
"253",NA,"Main_RecrDev_1945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0681803,NA
"254",NA,"Main_RecrDev_1946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0720452,NA
"255",NA,"Main_RecrDev_1947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0764035,NA
"256",NA,"Main_RecrDev_1948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0813423,NA
"257",NA,"Main_RecrDev_1949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0868853,NA
"258",NA,"Main_RecrDev_1950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0931124,NA
"259",NA,"Main_RecrDev_1951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.100027,NA
"260",NA,"Main_RecrDev_1952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.107842,NA
"261",NA,"Main_RecrDev_1953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.116409,NA
"262",NA,"Main_RecrDev_1954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.125963,NA
"263",NA,"Main_RecrDev_1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.136693,NA
"264",NA,"Main_RecrDev_1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.148702,NA
"265",NA,"Main_RecrDev_1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.161475,NA
"266",NA,"Main_RecrDev_1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17548,NA
"267",NA,"Main_RecrDev_1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.190654,NA
"268",NA,"Main_RecrDev_1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.206547,NA
"269",NA,"Main_RecrDev_1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.216054,NA
"270",NA,"Main_RecrDev_1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.217347,NA
"271",NA,"Main_RecrDev_1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.237023,NA
"272",NA,"Main_RecrDev_1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.220293,NA
"273",NA,"Main_RecrDev_1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.267228,NA
"274",NA,"Main_RecrDev_1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.340812,NA
"275",NA,"Main_RecrDev_1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.385758,NA
"276",NA,"Main_RecrDev_1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.423046,NA
"277",NA,"Main_RecrDev_1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.455948,NA
"278",NA,"Main_RecrDev_1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.470455,NA
"279",NA,"Main_RecrDev_1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.518935,NA
"280",NA,"Main_RecrDev_1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.594322,NA
"281",NA,"Main_RecrDev_1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.551933,NA
"282",NA,"Main_RecrDev_1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.605785,NA
"283",NA,"Main_RecrDev_1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.467348,NA
"284",NA,"Main_RecrDev_1976",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.144489,NA
"285",NA,"Main_RecrDev_1977",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.25841,NA
"286",NA,"Main_RecrDev_1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.239706,NA
"287",NA,"Main_RecrDev_1979",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.32826,NA
"288","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",NA,"SB0",1632.81,1772.68,1112.45,926.324,1243.54,1484.1,8597.2,1632.81,2093.53,1767.15,2864.67,1896.73,1385.35,1253.42
"290",NA,"SSB_2023",899.771,997.485,578.506,553.61,722.88,734.389,506.787,899.773,1273.22,984.058,1676.38,985.976,901.103,659.513
"291",NA,"Bratio_2023",0.551058,0.5627,0.520028,0.597642,0.581307,0.494839,0.0589479,0.551058,0.608169,0.556862,0.585192,0.51983,0.650449,0.52617
"292",NA,"MSY_SPR",454.965,466.108,432.216,517.425,396.901,528.94,338.072,454.965,492.47,458.532,473.201,488.513,386.642,418.614
"293",NA,"F_SPR",0.064922,0.0671823,0.0579337,0.073026,0.0595253,0.0625115,0.0199153,0.064922,0.0759004,0.0659657,0.0699852,0.0658532,0.0649211,0.0626315
